name,number,x,y,z
HH0,0,-13.546152718365192,-118.15136713231914,-95.65242624888197
HH1,1,-18.8562233382836,-104.54280236107297,-95.60458193905652
HH2,2,-24.126308981329203,-90.91854572785087,-95.58226459799334
HH3,3,-29.532460814341903,-77.34768863976933,-95.47308043390512
HH4,4,-34.85061368625611,-63.742296662181616,-95.42007609317079
HH5,5,-40.16079090721905,-50.13377485028468,-95.37216348852962
HH6,6,-45.47099479287863,-36.525263734161854,-95.32423380855471
HH7,7,-50.79722992144525,-22.923044553026557,-95.26606943644583
HH8,8,-56.00345750618726,-9.27372656087391,-95.2845201198943
HH9,9,-61.40976872481406,4.29706476512365,-95.17523351730779
HH10,10,-66.6480589164421,17.933799208141863,-95.17321481788531
HH11,11,-4.947124190628529,-122.6747195259668,-84.7482977239415
HH12,12,-10.321200274862349,-109.09127354179509,-84.65959177771583
HH13,13,-15.65529118385166,-95.49213607236743,-84.59641271503642
HH14,14,-20.901383039541543,-81.85846364079043,-84.58941328991205
HH15,15,-26.25953425001353,-68.2687692285981,-84.51087370608002
HH16,16,-31.5696981260553,-54.66024235729128,-84.46296979766339
HH17,17,-36.88789097778499,-41.05486677354202,-84.4099400267005
HH18,18,-42.19010587967932,-27.443220707122236,-84.36711076227948
HH19,19,-47.50034975633025,-13.834725928027183,-84.31915563251823
HH20,20,-52.79461573343724,-0.21996053936891258,-84.28140101302415
HH21,21,-58.088908408768475,13.394794237799942,-84.24362931773067
HH22,22,-68.06348730064929,33.036269654054195,-87.7926962506026
HH23,23,3.6326422905549407,-127.20567166875117,-73.82022480107844
HH24,24,-1.661396904848516,-113.59081584983505,-73.78261543670669
HH25,25,-6.931455732323229,-99.96654914924875,-73.76031532371417
HH26,26,-12.3135741725564,-86.38626019773073,-73.66647528810427
HH27,27,-17.55967936757952,-72.75259314174764,-73.65946734882891
HH28,28,-22.957855644635856,-59.17860711249523,-73.55537561839446
HH29,29,-28.292039826512337,-45.57950758631341,-73.49213701160625
HH30,30,-33.610245999880135,-31.974137676414102,-73.43909887922928
HH31,31,-38.816446541808546,-18.32480974914506,-73.45756651740521
HH32,32,-44.222731402143836,-4.754008137388155,-73.34829771984369
HH33,33,-49.509008393622935,8.863892287947237,-73.31564346235245
HH34,34,-59.47232808917761,28.509827364468947,-76.88354639429599
HH35,35,-64.79068089090288,42.115138437598944,-76.83041429752484
HH36,36,12.167597508057952,-131.75416811578907,-62.87519242800772
HH37,37,6.9535955199971795,-118.10790270729922,-62.8886793050915
HH38,38,1.6195311257615685,-104.50875484454446,-62.825517741497606
HH39,39,-3.7305646082386374,-90.91589883062989,-62.752121589146554
HH40,40,-9.00866575166583,-77.29478892730549,-62.72468718048185
HH41,41,-14.374819417484105,-63.70823565055616,-62.64103936590254
HH42,42,-19.692985616624355,-50.10284991352819,-62.58802702464163
HH43,43,-25.011178467422724,-36.4974749176763,-62.534997607115656
HH44,44,-30.305391009896994,-22.88268880546093,-62.49727738881484
HH45,45,-35.60763256344944,-9.27105394587852,-62.45443134009838
HH46,46,-40.86988928820938,4.356273564742878,-62.43711200123653
HH47,47,-50.90043070912361,23.975784624461085,-65.9504522010684
HH48,48,-56.18676104210317,37.59366355231032,-65.91776387067512
HH49,49,-61.51312944293022,51.19582823780365,-65.85951465321705
HH50,50,20.73930714186281,-136.28828108264133,-51.941977192647755
HH51,51,15.437292383052409,-122.67655585031025,-51.89927641674876
HH52,52,10.159258089959621,-109.0554198208265,-51.87188478698954
HH53,53,4.857189937494695,-95.443715832429,-51.82914986135438
HH54,54,-0.4529072651639581,-81.83516302495264,-51.78128912253305
HH55,55,-5.787038208916783,-68.23604255751707,-51.71808508783579
HH56,56,-11.089186370372772,-54.6243706389796,-51.675298939459026
HH57,57,-16.39136121608317,-41.012709374539554,-51.63249571993947
HH58,58,-21.725572078488767,-27.413621212122962,-51.56924046436325
HH59,59,-27.035802584141493,-13.80512197688222,-51.52129435678944
HH60,60,-32.33805743791163,-0.19349278369918466,-51.4784399154596
HH61,61,-42.27731657214463,19.461884633637965,-55.06170360604301
HH62,62,-47.5956427231431,33.06720585981384,-55.008588939439505
HH63,63,-52.91399552393705,46.67251634574495,-54.955457200761884
HH64,64,-58.224372698925436,60.280956839211285,-54.907417132519186
HH65,65,29.35423192754388,-140.8053934823256,-41.04799869470298
HH66,66,24.03622569143772,-127.19994404539466,-40.99508914956823
HH67,67,18.710190408863127,-113.59764582384378,-40.9370538094081
HH68,68,13.376126104034483,-99.99849888286553,-40.87389267189428
HH69,69,8.082047080621123,-86.3836601707153,-40.83625807752833
HH70,70,2.795943726785481,-72.76569152879529,-40.8037151331082
HH71,71,-2.4261674359440804,-59.12260896060616,-40.81202489929274
HH72,72,-7.768340773880482,-45.52664536959492,-40.743686743080616
HH73,73,-13.070528980344534,-31.91498962487094,-40.70087512861937
HH74,74,-18.436762574128807,-18.32846953999251,-40.6171766561456
HH75,75,-23.65898078121245,-4.685428803320974,-40.62541812611744
HH76,76,-33.68946889974177,14.934102809755132,-44.13879316393286
HH77,77,-38.98377479426563,28.54885117826052,-44.10101340012625
HH78,78,-44.31011657975614,42.15102605195716,-44.04278164496645
HH79,79,-49.6284827105701,55.756330884061754,-43.98964154813439
HH80,80,-54.922868645749986,69.3710472646635,-43.95181056112051
HH81,81,38.00914181955159,-145.30681401491165,-30.179546745494008
HH82,82,32.63513191789389,-131.72334248153493,-30.090884970035404
HH83,83,27.301107534207404,-118.12417963612825,-30.02774965343997
HH84,84,21.99106373731047,-104.51560614351183,-29.979923384729773
HH85,85,16.672990879043937,-90.91018385905772,-29.926971334964037
HH86,86,11.36289375461638,-77.30163178080693,-29.879110916052014
HH87,87,6.068774718791246,-63.6868092904333,-29.84145083837211
HH88,88,0.8146408265456557,-50.05629452923313,-29.829317215830088
HH89,89,-4.527545815333724,-36.46033674106002,-29.7609707522206
HH90,90,-9.861756705679,-22.86124920169823,-29.697715922724456
HH91,91,-15.163984837941825,-9.249609927413985,-29.654878843575716
HH92,92,-25.066408848389983,10.420182279543951,-33.2500106068328
HH93,93,-30.384708363562822,24.025513702072203,-33.19691337272525
HH94,94,-35.55099061410874,37.69050794094801,-33.24086457816884
HH95,95,-40.957368922419846,51.261270202929154,-33.13153737038374
HH96,96,-46.30775763373822,64.85400654864497,-33.05795406876132
HH97,97,-51.64216835703701,78.45301353768446,-32.994571117218584
HH98,98,46.63678712770343,-149.8189747426659,-19.28204167401418
HH99,99,41.190768538974226,-136.26376198069192,-19.14741052687168
HH100,100,35.87276234664023,-122.6583132382948,-19.094501338899136
HH101,101,30.554729502648115,-109.05287523474544,-19.041575078386813
HH102,102,25.252674822695553,-95.4411669599358,-18.998849121388048
HH103,103,19.94259106181562,-81.83260986558162,-18.950997402425855
HH104,104,14.648485412821174,-68.21778237260878,-18.913345987908542
HH105,105,9.442379268817604,-54.56841923063621,-18.931873079389334
HH106,106,4.092203509062529,-40.97559686098248,-18.858426693361253
HH107,107,-1.2339917374774814,-27.373363566352054,-18.80028930073604
HH108,108,-6.568215974606574,-13.774281687568873,-18.7370261461474
HH109,109,-16.49939218722284,5.884266819106415,-22.32545017171651
HH110,110,-21.793671349063516,19.499025298748165,-22.287687735632062
HH111,111,-27.07197256013751,33.12005457887426,-22.260125611443073
HH112,112,-32.42232135403901,46.712806780589744,-22.186568167060614
HH113,113,-37.73268519155681,60.321251817047596,-22.138537121005356
HH114,114,-43.03507339488715,73.93282692460343,-22.09559769462794
HH115,115,-48.305479113943875,87.55695454450324,-22.073075970169157
HH116,116,55.22762353159487,-154.34553923853673,-8.372686097864062
HH117,117,49.837635175324976,-140.76833825861104,-8.273824644740671
HH118,118,44.47162763029337,-127.18172703590244,-8.190272135660052
HH119,119,39.153608108870685,-113.57628394570202,-8.13735458953306
HH120,120,33.85156677942723,-99.9645705986768,-8.094637313857675
HH121,121,28.54149635322392,-86.3560084241908,-8.046794292051345
HH122,122,23.247404066845775,-72.74117586552165,-8.009151542559266
HH123,123,17.953285080380738,-59.12635391904041,-7.971491716336459
HH124,124,12.64313461817801,-45.51782375108451,-7.923597473651171
HH125,125,7.332957488484681,-31.909304280998185,-7.875686157494783
HH126,126,2.0147513207048178,-18.30393613432534,-7.822649096138775
HH127,127,-7.911625949665904,1.3564543083775789,-11.40248909778893
HH128,128,-13.221896425820887,14.9649364547804,-11.354517971165478
HH129,129,-18.5081865536049,28.582830001832917,-11.321855801623315
HH130,130,-23.81050805747509,42.194431537762284,-11.278959203511477
HH131,131,-29.128860889934003,55.79974093311466,-11.225828178226948
HH132,132,-34.43123574368656,69.41132111474872,-11.18289743270725
HH133,133,-39.71763267181814,83.02917220978998,-11.150166967883706
HH134,134,-45.07607698906213,96.61874547949992,-11.071441338863224
HH135,135,63.663155506365,-158.93309026630595,2.647460697684437
HH136,136,58.46523955091834,-145.28051433106884,2.6237055538222194
HH137,137,53.051230516284704,-131.71274060569704,2.737901178188622
HH138,138,47.74122678488493,-118.10415202355944,2.7857013531029224
HH139,139,42.42319395300001,-104.49871462839656,2.838627260643989
HH140,140,37.12914174795151,-90.88386643514968,2.876244272571057
HH141,141,31.819058005698025,-77.27530992147513,2.9240956697613
HH142,142,26.516950006596744,-63.66362354950979,2.966855485457927
HH143,143,21.206812920048833,-50.05508840852417,3.0147410300560296
HH144,144,15.912653953768313,-36.44028276880272,3.052426338661462
HH145,145,10.594461134634912,-22.834909599740058,3.1054546837694943
HH146,146,0.8313884539529681,-3.1103872472885996,-0.5902855871245265
HH147,147,-4.6229113265872,10.441568282200024,-0.4503672728314996
HH148,148,-9.933195135556161,24.050044810399413,-0.4023877689614892
HH149,149,-15.195491545833647,37.67735492461361,-0.38504315353929996
HH150,150,-20.529835742898285,51.2763879802078,-0.3217035229317844
HH151,151,-25.85620423220098,64.87855096557178,-0.2634554789401591
HH152,152,-31.15059007704258,78.49326627794653,-0.22562500275671482
HH153,153,-36.45300493389368,92.10483017819934,-0.18266879208385944
HH154,154,-41.795457986183465,105.70067932037637,-0.11415220890194178
HH155,155,71.58875706512481,-155.89176502614282,17.225776380859315
HH156,156,66.32682151719928,-142.26431284379214,17.242890401743352
HH157,157,60.98483456298709,-128.6682756373193,17.31110782083124
HH158,158,55.658825918100774,-115.06596834864467,17.36912504862994
HH159,159,50.34879553504288,-101.45739084901288,17.416942085139453
HH160,160,45.06274579837918,-87.83940249471925,17.4494502954185
HH161,161,39.744659623131156,-74.23398686363362,17.502410111017525
HH162,162,34.442551641725004,-60.62230085255578,17.5451697348617
HH163,163,29.12441214825958,-47.01690665772185,17.59816369600594
HH164,164,23.838255626149476,-33.39896079292521,17.630740204360336
HH165,165,18.528065196238458,-19.790447370149195,17.678659681696445
HH166,166,9.379088727757335,-7.653923559235409,10.358252768870443
HH167,167,3.9568115919828415,5.910599684342742,10.47772750351578
HH168,168,-1.3454564893618226,19.522221914725378,10.520589665044099
HH169,169,-6.63174653891474,33.14011490345001,10.553251613862813
HH170,170,-11.934068004600704,46.75171586545184,10.596147923730314
HH171,171,-17.252420835196972,60.35702467383817,10.649278591386974
HH172,172,-22.546793318353593,73.9717450523749,10.687100405339152
HH173,173,-27.881204123608768,87.57075085793622,10.750482505653054
HH174,174,-33.18363228067756,101.18230909039266,10.793447108007967
HH175,175,-38.50209173746407,114.78757499740459,10.846646070014685
HH176,176,74.8615721873939,-146.81288589676842,28.188047854229808
HH177,177,69.57561592385173,-133.19486062740907,28.22049619909376
HH178,178,64.26562553551048,-119.58626733114943,28.268287463579327
HH179,179,58.947606016881764,-105.98082522000186,28.321204417850822
HH180,180,53.64556475356221,-92.36911282734945,28.363921213895082
HH181,181,48.35149925108999,-78.7542705568485,28.40154646988958
HH182,182,43.04940461087972,-65.14257945190184,28.44429741241038
HH183,183,37.7312784306705,-51.53718014922924,28.49728266056627
HH184,184,32.437132857739925,-37.92236979980953,28.534959136508405
HH185,185,27.12695576250553,-24.31385129620321,28.58286991575733
HH186,186,21.824754402972758,-10.702202852582559,28.625689152162522
HH187,187,12.571747243404388,1.3934923571068794,21.37169473944232
HH188,188,7.253487735055387,14.99883834598586,21.424765471369028
HH189,189,1.9432039484381676,28.607314294902608,21.472744652535766
HH190,190,-3.3430994180962443,42.22520170779899,21.505415027495474
HH191,191,-8.661438916809857,55.83051558258012,21.558536980766803
HH192,192,-13.979805069975555,69.43581871502101,21.611676005646586
HH193,193,-19.25818618107587,83.0568150319159,21.639288978651166
HH194,194,-24.576605673879385,96.66209678957239,21.69246215140447
HH195,195,-29.90305413864553,110.26422697701491,21.750761022325605
HH196,196,78.15836768317968,-137.72459628479555,39.13501005526632
HH197,197,72.84038816485554,-124.1191384124104,39.18790121981874
HH198,198,67.53838694375008,-110.50741031416692,39.23059226339683
HH199,199,62.22835657093674,-96.8988333735615,39.278408978134394
HH200,200,56.934304447844625,-83.28398608067073,39.31602556910366
HH201,201,51.624220724217594,-69.67543049086817,39.36387643171474
HH202,202,46.31411033216864,-56.066885598702356,39.4117443645373
HH203,203,41.01997814141214,-42.452070225030184,39.449412177782506
HH204,204,35.70981439668685,-28.843546685529873,39.49731425847858
HH205,205,30.423631235025823,-15.225611948408186,39.52990761958063
HH206,206,25.12141654174775,-1.6139690859708935,39.572735249530524
HH207,207,15.84440248273313,10.472303863381967,32.33406680030748
HH208,208,10.52612965553999,24.077644178410992,32.3871458908543
HH209,209,5.231837306171656,37.692395894089714,32.42491622827947
HH210,210,-0.054479374550282955,51.310277733253315,32.45759503124282
HH211,211,-5.388836931437254,64.90930446214043,32.52094256039709
HH212,212,-10.675206997431815,78.5271650312934,32.55365550983697
HH213,213,-15.961603778414428,92.14501503086649,32.58638553414494
HH214,214,-21.272034281864762,105.75343199726194,32.63445845618844
HH215,215,81.45190558210015,-128.6376260907855,50.09569874033332
HH216,216,76.13391272816807,-115.03217384871095,50.14859826490283
HH217,217,70.82389569841325,-101.42359185032547,50.196406280156225
HH218,218,65.50584953278303,-87.81816106592305,50.249339951667935
HH219,219,60.21978656668216,-74.200178865809,50.28185637295246
HH220,220,54.9096895204857,-60.591628913767636,50.3297156104818
HH221,221,49.599565805867314,-46.98308965959586,50.37759192008525
HH222,222,44.305420299991965,-33.36827989737503,50.41526814131066
HH223,223,39.12328211311251,-19.709512007422745,50.38144130911678
HH224,224,33.709046765230596,-6.14183285436593,50.495780386030674
HH225,225,28.406818753108382,7.469804382883012,50.53861640812829
HH226,226,19.137807400897145,19.559217697242275,43.29483946878463
HH227,227,13.835526015609503,33.170833793701604,43.337709734681994
HH228,228,8.541220328770578,46.78557996312156,43.375488482415676
HH229,229,3.20687607396394,60.384611771441996,43.43882725993171
HH230,230,-2.071478241123259,74.00561814988032,43.466422972269356
HH231,231,-7.373866360634565,87.61719162459485,43.50936153298244
HH232,232,-12.69228586088866,101.22247281530872,43.56253434764221
HH233,233,84.73264191672206,-119.55563893658109,61.05291131604463
HH234,234,79.40663323923945,-105.95333283673972,61.110927764326334
HH235,235,74.12061035167426,-92.3353349652607,61.1434184666723
HH236,236,68.81055331602693,-78.72676925943233,61.19125193217769
HH237,237,63.50847208220512,-65.11507369671017,61.23399390792474
HH238,238,58.20636416319758,-51.50338878831826,61.27675295621157
HH239,239,52.90422955993563,-37.89171453518793,61.31952907750383
HH240,240,47.602068273350596,-24.280050936387852,61.36232227366418
HH241,241,42.30788273829967,-10.665257353102788,61.400023978203535
HH242,242,37.00566807389259,2.946384956827387,61.44285132177174
HH243,243,31.70342672802508,16.55801661219448,61.48569573787972
HH244,244,22.426413242705166,28.644288952928036,54.24702747305855
HH245,245,17.124118531122804,42.25589944655076,54.28990613063797
HH246,246,11.83780191000551,55.87378076929599,54.32258471287787
HH247,247,6.527451436966658,69.48222922952846,54.37060609366745
HH248,248,1.2250766661018133,83.09380777669139,54.41353597166017
HH249,249,-4.101331875659525,96.69595324783586,54.4718086454086
HH250,250,88.02135366946459,-110.4705221077893,72.00503190746531
HH251,251,82.71133664622903,-96.86194064631127,72.05283960374072
HH252,252,77.40929544530809,-83.25022935704328,72.09555582469329
HH253,253,72.09122259635478,-69.64480981440283,72.14850621297956
HH254,254,66.79713051766157,-56.02997930836864,72.18614803534001
HH255,255,61.48700680676848,-42.42144059226848,72.23402402270585
HH256,256,56.192861343733966,-28.806631352519616,72.27169999061152
HH257,257,50.89068673085421,-15.194973357021809,72.31450158031657
HH258,258,45.596487873233855,-1.580185362836346,72.35221169469878
HH259,259,40.30226231645793,12.034592017997056,72.38993888255209
HH260,260,34.98400278761983,25.639936700928956,72.4430087832734
HH261,261,25.719763953238726,37.73118120874278,65.207833356224
HH262,262,20.425458314828575,51.345926832873374,65.24561184830964
HH263,263,15.147130765020847,64.96694335946813,65.27319030091166
HH264,264,9.844769325107336,78.57852702331729,65.316111497581
HH265,265,4.534378827549517,92.18695923057385,65.36415832582861
HH266,266,91.30680774897337,-101.38672478636727,82.9708789223805
HH267,267,86.00477990694344,-87.77500844513997,83.01358646387234
HH268,268,80.70272537972778,-74.1633027587086,83.05631107836962
HH269,269,75.3846391942352,-60.55788884800859,83.10926982574165
HH270,270,70.08253131527454,-46.94620451238006,83.15202858718112
HH271,271,64.78039675112814,-33.334530831780285,83.19480442116037
HH272,272,59.48623796645552,-19.71972718113102,83.23248879797757
HH273,273,54.184050027281046,-6.108074788236991,83.27529877843335
HH274,274,48.889837849885225,7.50670761638321,83.31301730405539
HH275,275,43.58759653382003,21.118338719708845,83.35586143098772
HH276,276,38.28532853256911,34.72995916730724,83.39872263092548
HH277,277,29.01631803624332,46.819371627410874,76.15494601381943
HH278,278,23.786018318496644,60.45923768449575,76.15186459524557
HH279,279,18.419651004485786,74.0457003575284,76.2356454320252
HH280,280,13.117276256904006,87.65727837430313,76.27857502130792
HH281,281,94.61147035844624,-92.29534851503558,93.91281566536054
HH282,282,89.30142666306347,-78.68677826668136,93.96064011286944
HH283,283,83.99935880117118,-65.07507816120051,94.0033731199801
HH284,284,78.68926176149398,-51.46652928576805,94.05123171303421
HH285,285,73.37913805618882,-37.857991106575355,94.09910737909377
HH286,286,68.08499263506383,-24.243182390229777,94.1367830936797
HH287,287,62.790820511989295,-10.628384285839275,94.17447588127106
HH288,288,57.480616768822074,2.980121885659173,94.22240276681259
HH289,289,52.18639126140624,16.59489872236736,94.26012970227748
HH290,290,46.868131725117564,30.200242838123813,94.31319924583659
HH291,291,41.581855275668204,43.81813910952769,94.34585181530565
HH292,292,32.336852309294045,55.91697352472693,87.08674972876906
HH293,293,27.010510341264307,69.51914502051659,87.14497913327068
HH294,294,21.716151353903115,83.133868874982,87.1827915199101
HH295,295,97.92087779380381,-83.20215120934881,104.86337039200589
HH296,296,92.6108207507059,-69.59358653542586,104.91120321443304
HH297,297,87.30073703918606,-55.985032559372485,104.95905311079696
HH298,298,81.99062666203827,-42.37648927909322,105.00692007970065
HH299,299,76.68849210441113,-28.764816085342318,105.04969562543556
HH300,300,71.39433334488422,-15.150012915953994,105.08737974986434
HH301,301,66.10014788527042,-1.535220357356593,105.1250809468329
HH302,302,60.789930794388056,12.073280239244923,105.17301620915532
HH303,303,55.47168457880616,25.678629441419616,105.22607703739777
HH304,304,50.17741905897856,39.29339005588554,105.2638294538483
HH305,305,44.88312683720142,52.90814005606808,105.30159894563258
HH306,306,35.63012174423784,65.00383348809555,98.04760551266372
HH307,307,30.327773683704436,78.61542167235166,98.09051774162799
HH308,308,101.26549891289324,-74.09509369079024,115.77979807788506
HH309,309,95.88340579904616,-60.51479953248054,115.87361558014527
HH310,310,90.59731630794704,-46.89682946866378,115.90614841505885
HH311,311,85.29519509151578,-33.28515118150972,115.94891528179869
HH312,312,79.9850446972996,-19.67662417399697,115.99680769909173
HH313,313,74.69087260961533,-6.061826570890844,116.03450023476034
HH314,314,69.39667381998152,7.552960419096053,116.07220984203741
HH315,315,64.0864433888346,21.16145541984588,116.1201534778811
HH316,316,58.776186290197074,34.76993972156197,116.16811418673024
HH317,317,53.481907431036234,48.384694788372144,116.20587501488626
HH318,318,48.2356165451929,62.018283758778125,116.21300204889849
HH319,319,38.934597046114504,74.09513244801201,108.98965960647911
HB320,320,-99.07025428581983,-299.6025764087681,-348.0309203513898
HB321,321,-148.75453968252987,-162.21059720078483,-339.9144248655066
HB322,322,-202.08864148613065,-26.216495575383306,-339.28692552400753
HB323,323,-255.1933481534943,109.86760781216435,-338.8058852045797
HB324,324,-13.434764771722257,-344.97553620301187,-238.7163933464326
HA325,325,-66.58082239329815,-208.90761483972892,-238.20898257987574
HA326,326,-116.00250468216836,-71.41263387026265,-230.26017672475427
HA327,327,-169.24191431049258,64.61858663265593,-229.6931529813446
HB328,328,-222.54800383094698,200.6236022762023,-229.08354964805767
HB329,329,72.38205931987613,-390.2772930304054,-129.51769391307607
HA330,330,19.173317341133952,-254.2339905272238,-128.97028303937986
HA331,331,-136.47791864257306,155.42117911553942,-120.04663457442075
HB332,332,-189.18518596887589,291.6612087478861,-119.81936154467985
HB333,333,157.78803383745253,-435.74020968703553,-20.056767207104713
HA334,334,104.86071848217398,-299.58650783542544,-19.689032623544335
HA335,335,-103.2445039395243,246.40800934261642,-10.699874181300402
HB336,336,-155.92909880261868,382.6569166833069,-10.487081119790673
HB337,337,190.6494337292388,-344.8992226612754,89.5274855629541
HA338,338,137.6887764884159,-208.75864197406918,89.91649550013244
HA339,339,-25.17591987363994,198.13453365978785,83.80710965907201
HB340,340,-77.8911836091429,334.37138367514126,84.03947692690417
HB341,341,223.5081238169223,-254.05931568262167,199.11339643830433
HA342,342,166.65158805437386,-119.41317517217249,192.17052666610107
HA343,343,113.67892598640174,16.722645573318005,192.56719365296885
HA344,344,60.831633942201734,152.90765769174322,192.8838341999799
HB345,345,8.10170560143888,289.13873015972786,193.12555670039728
HB346,346,252.60574191529304,-164.66093087615445,301.281323811505
HB347,347,199.6824322808534,-28.505760893924162,301.6464747223072
HB348,348,146.86048598773777,107.68917948007584,301.9469264373183
HB349,349,94.14790236856788,243.9270394523628,302.17757079796866
